!CSV A.01.01,,,,,,,,
!Keysight Technologies,E5080A,MY55100348,A.12.55.09,,,,,
!Date: Thursday, April 25, 2019 16:56:09,,,,,,
!Source: Standard,,,,,,,,
,,,,,,,,
BEGIN CH1_DATA,,,,,,,,
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
5140738000,0.30965197,149.41739,0.7136848,8.2711115,0.71365041,8.3417282,0.23480655,-39.89238
5140744000,0.31016254,149.40254,0.71357816,8.2929058,0.71379906,8.3504438,0.23456807,-39.808334
5140750000,0.30994064,149.39404,0.71398038,8.2898512,0.7135902,8.3485079,0.23481306,-39.811958
5140756000,0.30990213,149.38806,0.71374065,8.278101,0.7139827,8.3454361,0.23503518,-39.83987
5140762000,0.31039086,149.37451,0.71370673,8.2848091,0.71421087,8.34513,0.23511779,-39.758156
5140768000,0.30996183,149.32176,0.71390849,8.2795105,0.71371508,8.3234282,0.23483241,-39.869801
5140774000,0.30999386,149.39941,0.71397132,8.2742748,0.71374273,8.3366747,0.2353428,-39.90023
5140780000,0.31033137,149.29436,0.71413255,8.2444305,0.71417964,8.3301716,0.23539625,-39.98164
5140786000,0.31018785,149.36394,0.71373165,8.2301188,0.71382052,8.3090906,0.23464905,-39.892036
5140792000,0.3103812,149.38252,0.71401119,8.2664652,0.71371311,8.3121252,0.23533684,-39.920647
5140798000,0.3106592,149.41954,0.71359837,8.2592564,0.71389514,8.3154106,0.23488931,-39.956032
5140804000,0.31074291,149.36403,0.7140367,8.2341051,0.71347761,8.3375854,0.23457792,-39.919472
5140810000,0.31035548,149.34984,0.71365416,8.2610979,0.71353227,8.3233614,0.23479286,-39.862858
5140816000,0.3102628,149.35274,0.71360153,8.2299223,0.71391511,8.3304129,0.23504852,-39.910957
5140822000,0.31006506,149.33794,0.71387398,8.2220221,0.71401197,8.3152218,0.23501866,-39.895813
5140828000,0.31010929,149.42967,0.71406859,8.2128057,0.71395028,8.2901392,0.23518762,-40.016613
5140834000,0.31034914,149.38324,0.71374208,8.2419624,0.71405774,8.3265409,0.23559061,-39.90881
5140840000,0.30986717,149.44264,0.71345156,8.2391453,0.71372151,8.2990389,0.23484415,-39.929607
5140846000,0.31006017,149.39618,0.71378052,8.2187433,0.71358228,8.2905283,0.2353927,-39.96394
5140852000,0.31052449,149.38007,0.71401483,8.2306929,0.71395934,8.287796,0.23492303,-40.034489
5140858000,0.31002834,149.37454,0.71342021,8.2128353,0.71385169,8.2945404,0.23519963,-39.990028
5140864000,0.31011537,149.37555,0.71427995,8.2141438,0.71364886,8.296876,0.23535644,-39.948235
5140870000,0.3101508,149.41582,0.71335566,8.2338667,0.71362513,8.283,0.23497309,-39.966381
5140876000,0.31011987,149.36813,0.71345621,8.2148399,0.71401989,8.2721214,0.23518832,-40.062733
5140882000,0.31009752,149.42619,0.71396446,8.2198105,0.7136336,8.2665682,0.2357859,-40.146469
5140888000,0.31004587,149.36015,0.71442443,8.2183943,0.71349555,8.2401571,0.23546518,-40.083111
5140894000,0.31025901,149.41971,0.71359032,8.2237625,0.71339536,8.2459316,0.2349391,-39.96423
5140900000,0.31013539,149.38977,0.71365643,8.2042103,0.71394503,8.2694187,0.23515503,-39.940105
5140906000,0.31031778,149.3515,0.71431369,8.1968689,0.71358341,8.2471018,0.23560604,-40.083141
5140912000,0.31049287,149.32291,0.7137025,8.2002316,0.71407264,8.2750168,0.23572277,-40.008915
5140918000,0.31024483,149.29266,0.71412218,8.1756077,0.71366835,8.2617025,0.23485002,-40.138439
5140924000,0.31049284,149.44189,0.71312678,8.2132673,0.71399891,8.2568998,0.23501827,-39.908798
5140930000,0.31042638,149.39281,0.71366775,8.1967936,0.7138443,8.2591848,0.23524015,-40.131489
5140936000,0.31040439,149.35774,0.7136336,8.2012854,0.71402293,8.2464447,0.23525432,-40.010056
5140942000,0.31043652,149.32286,0.7135272,8.1737738,0.71395224,8.2462006,0.23531784,-40.080482
5140948000,0.31057715,149.32169,0.71357799,8.185029,0.71350378,8.2664394,0.23492435,-40.104748
5140954000,0.31035814,149.32114,0.71359009,8.1796513,0.71362013,8.2534037,0.23525432,-40.052238
5140960000,0.31103143,149.37794,0.71388692,8.2145576,0.71332443,8.2371035,0.23517327,-40.118587
5140966000,0.30968469,149.3981,0.71395952,8.1284246,0.71351093,8.2193575,0.23496845,-40.210537
5140972000,0.31093484,149.3194,0.71349019,8.1415997,0.71334332,8.2335052,0.23498785,-40.242439
5140978000,0.31031987,149.37268,0.71360058,8.1554937,0.71358263,8.2550516,0.23513857,-40.086403
5140984000,0.31056911,149.38425,0.71387959,8.1416149,0.71374321,8.2176981,0.23540649,-40.240582
5140990000,0.31022885,149.38422,0.71412587,8.1365318,0.71322691,8.2366896,0.23554692,-40.22971
5140996000,0.31038645,149.32489,0.71350098,8.1663542,0.71395183,8.2241793,0.23535323,-40.11599
5141002000,0.31018746,149.38982,0.71348351,8.125927,0.71372837,8.2082777,0.23532899,-40.144436
5141008000,0.31105098,149.33084,0.71379697,8.1509075,0.71366322,8.2200994,0.23529987,-40.179161
5141014000,0.31041062,149.36185,0.71372777,8.1362495,0.7135272,8.2445383,0.23535171,-40.108555
5141020000,0.31030184,149.34753,0.7137289,8.1300344,0.71340102,8.1914482,0.23559515,-40.218414
5141026000,0.31034222,149.34143,0.71385825,8.1581068,0.71386391,8.1912212,0.23510446,-40.253246
5141032000,0.31052026,149.30591,0.71369159,8.1061049,0.71361244,8.1759691,0.23523493,-40.295784
5141038000,0.31033188,149.35393,0.71360272,8.1240892,0.71362609,8.2082682,0.23526321,-40.256783
5141044000,0.31063801,149.24809,0.71381092,8.1381521,0.7137208,8.2009039,0.23533046,-40.203831
5141050000,0.31081691,149.37425,0.71414268,8.1187963,0.71352321,8.2051401,0.23600575,-40.311058
5141056000,0.31053856,149.2789,0.71347082,8.1092272,0.71358651,8.2006416,0.23550431,-40.294777
5141062000,0.31030065,149.3597,0.71346748,8.1238728,0.71396124,8.1608753,0.23561794,-40.360317
5141068000,0.31037062,149.37946,0.71334565,8.1234493,0.71378434,8.1473684,0.23483847,-40.26564
5141074000,0.31029153,149.36089,0.71373206,8.0965853,0.71353149,8.2085152,0.23543902,-40.363998
5141080000,0.31014425,149.34439,0.71350205,8.099021,0.71357828,8.1804276,0.23553808,-40.198345
5141086000,0.31034908,149.3539,0.7135132,8.0725956,0.71403325,8.1644287,0.23530437,-40.34148
5141092000,0.31081128,149.35452,0.71337336,8.1025839,0.71396589,8.1534224,0.23582406,-40.277069
5141098000,0.31028157,149.3624,0.71356571,8.0730553,0.71385348,8.1729603,0.23560011,-40.363106
5141104000,0.31025076,149.31177,0.7138598,8.0940351,0.71367753,8.1654367,0.23557836,-40.251415
5141110000,0.31017059,149.37241,0.71345675,8.0630779,0.71332115,8.169898,0.23523378,-40.265774
5141116000,0.31023601,149.30663,0.71375847,8.0857611,0.71371037,8.1467495,0.23567982,-40.345684
5141122000,0.31078008,149.40982,0.71345645,8.0891438,0.71337253,8.1386003,0.23545027,-40.37075
5141128000,0.31005692,149.29955,0.71365041,8.0567532,0.71348178,8.1564493,0.23513757,-40.369816
5141134000,0.3105512,149.30573,0.71353686,8.0624418,0.71353275,8.1387968,0.23557712,-40.47821
5141140000,0.31065479,149.38649,0.71357888,8.0927448,0.71352971,8.1117048,0.23595068,-40.4492
5141146000,0.3103852,149.31636,0.71372271,8.0838566,0.71357495,8.1454268,0.23563087,-40.361446
5141152000,0.31064123,149.29019,0.71356457,8.0374613,0.71352208,8.1422691,0.23574173,-40.385155
5141158000,0.31023186,149.29974,0.71360213,8.0386295,0.71338809,8.124753,0.23547004,-40.40971
5141164000,0.31026009,149.26558,0.71374047,8.0531092,0.71329951,8.0961399,0.23557428,-40.515915
5141170000,0.31036931,149.33038,0.71372187,8.0509815,0.71355468,8.118371,0.23557509,-40.38892
5141176000,0.31041762,149.34093,0.71347409,8.0260077,0.71364564,8.1407003,0.23560768,-40.44381
5141182000,0.31073737,149.27022,0.71372569,8.077219,0.7132439,8.1339865,0.23535833,-40.519791
5141188000,0.31019199,149.33821,0.71356666,8.0470819,0.71316385,8.0903769,0.23533919,-40.489223
5141194000,0.31065065,149.37273,0.71339905,8.0032673,0.71339756,8.1081381,0.23561473,-40.499634
5141200000,0.31044951,149.30956,0.71347731,8.0398178,0.71355402,8.100975,0.23600651,-40.527763
5141206000,0.31035155,149.32793,0.71333355,8.0239906,0.71366125,8.1224108,0.23585451,-40.45874
5141212000,0.31037909,149.36838,0.71341038,8.0148258,0.71350747,8.0942879,0.23572329,-40.4874
5141218000,0.31049672,149.32904,0.71353066,7.9998107,0.71348196,8.1008053,0.23552532,-40.554165
5141224000,0.31039467,149.34561,0.71367091,8.0601511,0.71336007,8.0915709,0.23557746,-40.407917
5141230000,0.3105427,149.32051,0.71336657,8.0173149,0.71318758,8.0715199,0.23519589,-40.542717
5141236000,0.31040692,149.26781,0.71320254,8.0336981,0.71398365,8.0855007,0.23525691,-40.517288
5141242000,0.31022692,149.33105,0.71370411,7.9907775,0.71315974,8.0893698,0.23510145,-40.575855
5141248000,0.31021744,149.35365,0.71360534,8.0093117,0.71326309,8.1018782,0.23562866,-40.464813
5141254000,0.31063765,149.37125,0.7130214,8.0234184,0.71350765,8.0846672,0.23586649,-40.468349
5141260000,0.31059903,149.30515,0.7135399,7.9941192,0.71359438,8.0927019,0.23563644,-40.578487
5141266000,0.31001729,149.31488,0.71324939,7.997086,0.71374702,8.0553827,0.23557825,-40.439838
5141272000,0.31028315,149.30399,0.71382648,7.960041,0.7134937,8.0646219,0.2358391,-40.632996
5141278000,0.31022832,149.35545,0.71323109,8.0142298,0.71325755,8.0492811,0.23603611,-40.502216
5141284000,0.310471,149.28969,0.71340054,7.9998355,0.71334422,8.0940218,0.23603608,-40.46838
5141290000,0.31044707,149.29192,0.71345842,7.9777098,0.71319133,8.0486374,0.235643,-40.536152
5141296000,0.31047863,149.32933,0.71382535,7.9814835,0.71334279,8.0723333,0.23606327,-40.592125
5141302000,0.31044999,149.34753,0.71339536,7.9808979,0.71329784,8.0524416,0.23557729,-40.774029
5141308000,0.31053329,149.3083,0.71328223,8.0192509,0.71350431,8.0280409,0.23574536,-40.511971
5141314000,0.31055817,149.30801,0.71358037,7.9643788,0.71342468,8.0797405,0.23580088,-40.63092
5141320000,0.31050611,149.32779,0.71345156,7.9951668,0.71304202,8.0263395,0.23554976,-40.668629
5141326000,0.31055897,149.26501,0.71346056,7.9763985,0.7132529,8.0419741,0.23564681,-40.635368
5141332000,0.31064469,149.34738,0.7134555,8.0042572,0.71324527,8.0081711,0.23593412,-40.555687
5141338000,0.30991873,149.23119,0.71339291,7.9427872,0.71339679,8.0174284,0.23572581,-40.69014
5141344000,0.31036744,149.28366,0.71357775,7.9468765,0.71324569,8.0439339,0.23583825,-40.802696
5141350000,0.31045824,149.34566,0.71323043,7.9621887,0.71337521,8.0408621,0.23609447,-40.632313
5141356000,0.31028,149.21838,0.71362847,7.9280276,0.71347207,8.0290775,0.23588525,-40.722958
5141362000,0.31069297,149.33199,0.71318799,7.9649491,0.7129451,8.0197926,0.23565093,-40.598461
5141368000,0.31083658,149.27002,0.71375018,7.9382467,0.71333688,8.0200958,0.23624395,-40.7626
5141374000,0.31037256,149.30817,0.71365786,7.9436917,0.7131663,8.0080338,0.23566657,-40.780907
5141380000,0.31051663,149.32205,0.71309656,7.9105167,0.71369761,8.002655,0.23548143,-40.714504
5141386000,0.31037205,149.28903,0.71330112,7.9241166,0.71321708,8.0117493,0.2357899,-40.723648
5141392000,0.31039673,149.27008,0.7139402,7.9010534,0.71354592,7.9930778,0.23549853,-40.788063
5141398000,0.31052449,149.34366,0.71383685,7.930285,0.71310592,7.999043,0.23587953,-40.792503
5141404000,0.31022054,149.31653,0.71301252,7.9253869,0.71353757,8.0095463,0.23596895,-40.635193
5141410000,0.31054878,149.27797,0.71321344,7.9051614,0.71315718,8.0294991,0.23547162,-40.671562
5141416000,0.31071362,149.28293,0.71307725,7.9091673,0.7135796,8.0029373,0.23587771,-40.799305
5141422000,0.31069443,149.2422,0.71317959,7.8802881,0.71363699,8.0103073,0.23558775,-40.872715
5141428000,0.30997622,149.31424,0.71353638,7.9162011,0.71336037,7.9843135,0.23594154,-40.756786
5141434000,0.31066847,149.32509,0.71316457,7.9483819,0.71319103,7.985888,0.23582706,-40.763443
5141440000,0.31067237,149.24574,0.713588,7.9269452,0.71382058,7.9894395,0.23612566,-40.769032
5141446000,0.31051001,149.3116,0.71340269,7.9263363,0.71317977,7.9643517,0.23614028,-40.837242
5141452000,0.3105852,149.26669,0.71369117,7.8832355,0.71319175,7.9762034,0.23579498,-40.826004
5141458000,0.31074813,149.24261,0.71338314,7.8991804,0.71310681,7.9654145,0.23594876,-40.812695
5141464000,0.3106308,149.27351,0.713238,7.8489146,0.71330285,8.0049515,0.23540619,-40.796654
5141470000,0.31055862,149.27908,0.71312124,7.8710742,0.71316701,7.9733152,0.23576862,-40.844479
5141476000,0.31059131,149.29018,0.71298844,7.8601904,0.71341026,7.9319601,0.23605828,-40.914597
5141482000,0.31049517,149.24318,0.71320415,7.8541131,0.71325791,7.9879336,0.23574252,-40.849468
5141488000,0.31034306,149.3213,0.71333486,7.8770599,0.71295083,7.9451509,0.23590398,-40.80621
5141494000,0.31011805,149.28922,0.71333742,7.872611,0.71323836,7.9228172,0.23607484,-40.814922
5141500000,0.31036061,149.44014,0.71297181,7.8649526,0.71289611,7.9331589,0.23571834,-40.90313
5141506000,0.31085515,149.31212,0.7130056,7.8615608,0.71338195,7.9748855,0.23591118,-40.821461
5141512000,0.31077227,149.25192,0.71346909,7.8596091,0.71318936,7.9431233,0.2357353,-40.939514
5141518000,0.31032214,149.24788,0.71335608,7.8330932,0.713072,7.9399943,0.23586851,-40.872486
5141524000,0.31026554,149.29768,0.7126568,7.8282661,0.71351129,7.930871,0.23574254,-40.926262
